heading_number,heading_text
,(Top)
,"
1History"
,"
2Design philosophy and features"
,"
3Syntax and semantics"
,"
3.1Indentation"
,"
3.2Statements and control flow"
,"
3.3Expressions"
,"
3.4Methods"
,"
3.5Typing"
,"
3.6Arithmetic operations"
,"
4Programming examples"
,"
5Libraries"
,"
6Development environments"
,"
7Implementations"
,"
7.1Reference implementation"
,"
7.2Other implementations"
,"
7.3Unsupported implementations"
,"
7.4Cross-compilers to other languages"
,"
7.5Performance"
,"
8Development"
,"
9API documentation generators"
,"
10Naming"
,"
11Popularity"
,"
12Uses"
,"
13Languages influenced by Python"
,"
14See also"
,"
15References"
,"
15.1Sources"
,"
16Further reading"
,"
17External links"
